cpu_utilization,device_age_days,device_id,device_type,error_log_rate,failure_probability,firmware_version,historical_incidents,historical_outages,io_wait,maintenance_days_since,memory_pressure,network_latency,packet_loss_rate,power_cycle_count,reboot_count_7d,sla_breach_history,software_patch_age_days,temperature_anomaly_score,temperature_variance,timestamp,workload_intensity
0.35,1238,D3045,T002,19.0,0.49,5.2,10,1,0.6,79,0.88,186,0.024,25,11,1,174,0.76,0.02,1/22/25,0.29
0.68,2333,D8359,T001,10.9,0.38,3.5,1,0,0.2,44,0.12,297,0.033,20,0,1,346,0.28,0.35,8/26/25,0.63
0.92,2733,D1771,T005,26.9,0.57,6.0,4,3,0.36,234,0.61,214,0.032,4,13,8,202,0.72,0.25,4/22/24,0.23
0.7,1102,D2084,T004,11.0,0.53,4.0,8,10,0.23,83,0.73,38,0.011,1,10,8,273,0.68,0.4,8/4/24,0.52
0.17,887,D6820,T003,42.8,0.43,5.1,7,4,0.28,360,0.36,204,0.133,20,3,1,295,0.63,0.42,8/2/24,0.16
0.32,615,D6107,T008,26.4,0.45,3.5,17,2,0.93,65,0.61,118,0.11,24,13,4,272,0.08,0.36,2/12/25,0.69
0.79,1631,D4923,T007,16.2,0.52,4.5,16,0,0.93,82,0.56,67,0.094,28,0,9,78,0.11,0.49,2/29/24,0.59
0.24,2540,D5315,T006,36.0,0.46,5.2,17,0,0.11,239,0.24,184,0.089,13,8,10,195,0.68,0.08,5/27/25,0.58
0.56,2037,D2612,T010,17.7,0.52,6.0,3,10,0.86,208,0.35,249,0.081,1,13,6,124,0.49,0.34,3/3/24,0.27
1.0,1020,D6413,T009,29.4,0.61,3.5,18,8,0.71,32,0.68,46,0.078,1,0,3,126,0.44,0.11,3/13/24,0.4
0.27,334,D2964,T001,2.8,0.3,3.0,16,8,0.07,25,0.3,105,0.11,2,2,2,160,0.06,0.34,8/6/25,0.63
0.97,975,D8973,T012,49.3,0.78,6.0,5,6,0.29,205,0.93,242,0.025,22,8,0,246,0.85,0.48,6/7/24,0.91
0.46,1937,D9856,T011,43.7,0.46,4.5,8,7,0.81,71,0.41,236,0.037,27,2,3,274,0.86,0.28,1/16/24,0.48
0.9,933,D3143,T004,12.6,0.49,4.5,8,8,0.63,351,0.77,57,0.042,26,1,7,175,0.16,0.14,10/14/25,0.67
0.58,1613,D5333,T003,49.2,0.47,3.5,17,4,0.3,145,0.56,293,0.052,21,0,9,125,0.13,0.05,4/28/24,0.24
0.32,936,D2638,T002,6.5,0.45,5.1,7,4,0.32,342,0.64,244,0.063,24,9,6,133,0.62,0.47,3/16/24,0.74
0.2,1350,D9785,T007,13.9,0.5,6.0,6,6,0.35,116,0.88,152,0.033,16,2,5,179,0.86,0.2,12/5/24,0.3
0.29,733,D3608,T006,9.0,0.39,5.2,5,6,0.8,121,0.32,220,0.117,27,10,0,317,0.1,0.37,12/19/25,0.88
0.98,408,D1653,T005,29.1,0.65,3.0,17,0,0.13,353,0.25,230,0.106,9,4,5,57,0.44,0.18,1/1/25,0.91
0.21,2431,D3780,T010,10.5,0.52,4.0,0,4,0.44,154,0.48,248,0.102,21,10,4,315,0.94,0.11,11/5/25,0.47
0.93,1866,D5844,T009,33.2,0.67,4.5,10,9,0.51,35,0.58,163,0.111,21,3,5,186,0.72,0.2,7/21/25,0.95
0.95,544,D1027,T008,49.2,0.59,5.0,10,6,0.9,305,0.2,207,0.027,6,3,9,19,0.97,0.13,6/16/25,0.49
0.9,2044,D6502,T001,38.3,0.63,6.0,7,10,0.27,230,0.65,132,0.076,2,15,4,81,0.72,0.36,11/23/24,0.33
0.46,996,D6198,T012,27.9,0.59,3.5,16,7,0.13,90,0.23,243,0.134,14,3,0,217,0.69,0.33,2/12/26,0.82
0.18,1371,D7291,T011,12.2,0.46,4.5,4,0,0.46,115,0.56,47,0.05,28,15,0,344,0.63,0.31,5/21/25,0.83
0.11,2336,D8657,T003,21.8,0.57,5.2,15,3,0.34,308,0.42,209,0.128,21,0,4,275,0.75,0.4,5/10/24,0.91
0.9,976,D7232,T002,20.8,0.47,4.0,10,8,0.39,32,0.17,225,0.057,24,6,7,361,0.15,0.29,5/3/25,0.47
0.73,1374,D4978,T006,45.4,0.58,3.5,9,9,0.94,55,0.79,213,0.091,6,12,10,83,0.17,0.04,4/14/24,0.62
0.85,2762,D4571,T005,47.5,0.65,5.1,20,0,0.62,35,0.52,20,0.008,7,6,0,114,0.75,0.06,4/21/25,0.8
0.98,2732,D7906,T004,13.0,0.65,3.0,14,2,0.45,219,0.58,118,0.089,10,10,0,42,0.91,0.38,9/15/24,0.22
0.24,1884,D6325,T008,44.1,0.41,6.0,7,1,0.57,303,0.26,247,0.098,21,7,4,238,0.52,0.19,7/5/24,0.34
0.73,2282,D8532,T007,17.1,0.65,3.0,2,8,0.11,219,0.37,260,0.121,30,13,10,177,0.68,0.18,12/25/25,0.7
0.29,895,D3068,T011,35.4,0.5,5.0,5,4,0.05,151,0.54,150,0.146,1,4,0,51,0.72,0.28,10/15/25,0.3
0.46,2354,D4033,T010,12.6,0.49,5.1,14,4,0.32,169,0.32,108,0.055,23,3,4,217,0.66,0.27,7/15/24,0.42
0.54,141,D5820,T009,24.4,0.41,5.0,2,3,0.65,264,0.42,253,0.042,15,7,6,284,0.26,0.22,8/14/24,0.95
0.29,407,D4824,T002,14.6,0.31,4.0,14,9,0.71,80,0.29,157,0.024,22,7,7,282,0.66,0.43,9/27/24,0.1
0.95,2541,D2625,T001,45.4,0.63,5.2,16,6,0.31,316,0.18,229,0.084,19,9,7,310,0.25,0.03,2/20/26,0.3
0.88,1904,D3444,T012,5.7,0.53,6.0,1,4,0.49,174,0.54,215,0.086,18,2,7,245,0.87,0.31,7/30/25,0.27
1.0,1772,D8451,T005,20.6,0.69,6.0,3,2,0.66,170,0.49,157,0.145,12,15,5,178,0.81,0.41,3/31/24,0.39
0.59,1125,D5557,T004,50.0,0.59,5.1,18,9,0.76,13,0.49,30,0.133,5,8,0,309,0.6,0.24,7/4/24,0.18
0.81,2330,D5460,T003,3.0,0.66,5.2,8,2,0.44,115,0.66,157,0.14,14,9,1,58,0.66,0.34,5/27/25,0.68
0.89,748,D5781,T007,11.2,0.53,4.5,17,6,0.95,159,0.54,246,0.095,20,3,1,363,0.03,0.42,6/5/25,0.6
0.38,2322,D5719,T006,31.1,0.54,3.0,6,8,0.76,236,0.39,236,0.061,6,15,5,336,0.97,0.13,3/24/25,0.47
0.39,251,D3529,T010,43.7,0.53,4.0,18,5,0.53,64,0.53,61,0.057,14,14,1,253,0.91,0.01,3/17/24,0.55
0.37,2306,D7730,T009,22.8,0.58,4.0,17,8,0.98,247,0.63,106,0.073,7,10,6,228,1.0,0.29,2/14/24,0.41
0.73,692,D5634,T008,43.2,0.59,6.0,19,8,0.34,196,0.47,222,0.071,25,8,2,282,0.48,0.25,1/13/26,0.27
0.65,1988,D5901,T001,44.9,0.63,4.0,8,10,0.68,326,0.44,157,0.075,5,14,0,118,0.68,0.04,10/16/25,0.33
0.98,1326,D3868,T012,18.7,0.52,4.0,1,4,0.53,14,0.78,135,0.015,18,4,5,355,0.7,0.34,3/21/24,0.14
0.52,2862,D2480,T011,43.6,0.64,3.5,10,10,0.23,273,0.97,45,0.104,21,1,7,168,0.34,0.46,3/20/25,0.44
0.43,922,D6549,T004,45.7,0.53,5.2,11,8,0.91,67,0.22,141,0.049,30,5,8,89,0.91,0.24,4/27/24,0.81
0.77,1543,D1546,T003,37.8,0.77,4.5,19,4,0.9,112,0.85,59,0.116,20,4,10,310,0.9,0.02,8/16/25,0.67
0.97,536,D1803,T002,49.6,0.56,5.2,11,9,0.98,121,0.72,21,0.045,21,9,4,247,0.46,0.2,9/12/25,0.44
0.45,732,D6942,T007,47.0,0.67,5.2,15,9,0.69,212,0.43,26,0.104,6,8,6,300,0.95,0.22,4/11/24,0.69
0.12,358,D9807,T006,5.8,0.52,4.5,9,10,0.3,325,0.9,29,0.137,15,1,6,331,0.56,0.06,5/18/24,0.84
0.52,1598,D4830,T005,6.2,0.45,5.2,0,4,0.58,46,0.17,144,0.034,26,11,8,285,0.75,0.32,4/27/25,0.81
0.39,2050,D8504,T010,22.6,0.44,3.5,16,9,0.73,229,0.26,32,0.111,29,7,1,32,0.05,0.43,10/20/25,0.8
0.85,704,D4898,T009,12.5,0.54,4.5,4,2,0.66,305,0.6,66,0.122,0,5,8,168,0.59,0.07,8/25/25,0.1
0.98,1230,D4362,T008,10.6,0.69,3.0,14,1,0.79,97,0.43,35,0.097,7,0,10,203,0.9,0.49,3/11/24,0.97
0.18,2378,D1842,T001,33.5,0.47,5.1,17,8,0.87,30,0.18,191,0.112,30,13,5,66,0.43,0.38,10/21/24,0.63
0.64,1949,D8770,T012,36.5,0.54,4.5,14,6,0.31,116,0.19,228,0.128,8,10,6,220,0.7,0.19,3/9/24,0.47
0.97,1916,D8433,T011,3.3,0.55,3.5,10,9,0.71,37,0.15,290,0.06,12,8,2,251,0.48,0.5,6/1/25,0.91
0.43,737,D2864,T004,13.6,0.56,3.5,1,10,0.61,80,0.75,258,0.085,13,13,1,26,0.78,0.14,12/19/24,0.78
0.94,1537,D6585,T003,20.0,0.49,5.0,4,9,0.09,3,0.85,25,0.027,16,4,10,173,0.27,0.11,6/10/24,0.26
0.64,543,D1430,T002,28.7,0.55,6.0,11,1,0.97,179,0.42,297,0.032,26,13,4,114,0.58,0.31,9/15/25,0.86
0.22,1726,D8538,T006,28.8,0.39,5.1,14,1,0.29,21,0.58,223,0.084,12,12,5,36,0.23,0.01,12/7/25,0.49
0.49,1003,D8055,T005,15.1,0.44,5.0,1,0,0.76,202,0.35,80,0.073,9,6,3,23,0.68,0.16,6/28/24,0.99
0.38,330,D9307,T009,1.9,0.43,5.0,9,7,0.08,180,0.5,156,0.095,27,11,7,302,0.47,0.49,1/28/25,0.56
0.75,908,D6295,T008,47.6,0.7,4.0,20,1,0.75,88,0.84,247,0.035,24,15,2,131,0.82,0.29,10/4/25,0.64
0.93,422,D6724,T007,39.0,0.63,5.2,10,3,0.63,202,0.18,271,0.036,16,2,5,268,0.84,0.25,12/25/24,0.88
0.17,2537,D9624,T012,32.2,0.64,5.2,9,8,0.67,362,0.7,75,0.047,26,10,6,66,0.92,0.47,4/5/24,0.94
0.26,1627,D3463,T011,2.6,0.37,4.0,10,10,0.33,144,0.32,43,0.066,17,10,9,186,0.44,0.34,12/7/24,0.45
0.52,2769,D9266,T010,47.9,0.69,6.0,15,8,0.81,96,0.6,62,0.134,26,14,2,292,0.79,0.17,10/23/25,0.39
0.71,2260,D9452,T003,43.7,0.66,5.2,6,9,0.87,214,0.61,256,0.115,17,1,2,257,0.44,0.47,5/7/24,0.97
0.66,278,D4178,T002,14.2,0.48,4.0,7,7,0.53,210,0.64,129,0.027,9,14,9,224,0.15,0.48,1/11/25,0.43
0.68,1499,D6517,T001,14.8,0.44,4.0,4,2,0.77,248,0.48,269,0.054,26,3,1,109,0.36,0.37,2/23/26,0.27
0.37,554,D4068,T006,28.8,0.4,6.0,0,10,0.43,255,0.14,159,0.119,19,4,8,32,0.42,0.18,11/11/25,0.64
0.68,668,D5720,T005,1.0,0.53,6.0,19,0,0.55,361,0.81,86,0.043,23,6,1,356,0.14,0.3,8/31/24,0.52
0.36,475,D2623,T004,2.7,0.48,4.0,11,0,0.39,113,0.79,130,0.136,2,11,6,223,0.27,0.19,1/1/26,0.84
0.99,1562,D4060,T009,40.0,0.63,4.5,10,4,0.74,24,0.59,214,0.113,28,13,1,146,0.25,0.48,5/23/25,0.88
0.14,2060,D9444,T008,1.8,0.48,6.0,4,1,0.79,323,0.59,32,0.026,28,6,7,356,0.81,0.02,2/11/25,0.26
0.7,2025,D6447,T007,17.9,0.59,3.0,11,4,0.24,22,0.57,186,0.143,21,2,0,199,0.36,0.31,5/16/24,0.67
0.31,728,D2858,T012,38.2,0.52,3.0,11,5,0.37,347,0.68,281,0.142,10,4,7,309,0.36,0.32,1/27/24,0.5
0.5,2719,D3068,T011,25.7,0.55,5.2,20,6,0.14,29,0.5,25,0.137,19,5,5,140,0.73,0.34,3/9/24,0.17
0.72,423,D3730,T010,16.1,0.54,3.5,5,8,0.66,220,0.43,177,0.04,9,2,4,217,0.8,0.22,12/7/25,0.64
0.41,2968,D7044,T002,6.1,0.51,4.0,11,8,0.24,326,0.16,81,0.134,15,6,3,364,0.54,0.01,4/23/25,0.26
0.76,2983,D6236,T001,10.0,0.6,5.0,19,4,0.45,228,0.55,47,0.084,28,4,7,133,0.39,0.36,11/14/25,0.29
0.58,2798,D4453,T005,2.1,0.52,4.0,19,5,0.05,319,0.55,51,0.141,20,0,9,87,0.17,0.39,2/24/26,0.75
0.97,726,D5961,T004,47.4,0.58,3.5,10,3,0.25,155,0.49,50,0.008,20,9,5,265,0.91,0.48,9/21/25,0.25
0.82,2060,D3981,T003,6.3,0.54,5.0,13,9,0.45,269,0.6,47,0.013,21,10,1,203,0.61,0.26,2/25/26,0.47
0.97,752,D1797,T008,24.9,0.78,5.1,14,7,0.51,255,0.91,211,0.14,30,2,4,97,0.81,0.12,2/21/24,1.0
0.88,1617,D7850,T007,6.1,0.62,5.2,10,3,0.14,263,0.39,136,0.052,1,14,7,66,0.99,0.15,9/11/24,0.61
0.61,1337,D3353,T006,3.6,0.47,5.0,12,4,0.44,247,0.66,90,0.133,15,1,7,328,0.03,0.23,11/16/24,0.32
0.51,496,D6456,T010,37.7,0.51,3.5,10,8,0.4,201,0.59,270,0.093,1,6,5,65,0.83,0.02,4/30/25,0.44
0.35,133,D7329,T009,18.3,0.51,5.0,8,5,0.57,55,0.64,36,0.101,6,12,6,274,0.84,0.18,5/31/25,0.49
0.32,1815,D8837,T001,38.7,0.48,6.0,6,6,0.71,77,0.62,41,0.029,16,15,8,160,0.7,0.1,6/22/25,0.47
0.63,2043,D3421,T012,36.1,0.78,3.0,18,9,0.52,135,0.82,97,0.103,23,15,3,305,0.73,0.31,11/28/25,0.97
0.57,1709,D2795,T011,25.4,0.54,5.1,9,9,0.3,315,0.23,298,0.021,26,15,5,83,0.89,0.01,3/2/25,0.77
0.33,547,D3252,T004,33.5,0.44,5.0,7,3,0.05,315,0.53,129,0.081,13,7,0,70,0.2,0.17,1/6/24,0.77
0.29,599,D8247,T003,47.7,0.47,5.0,12,6,0.04,293,0.73,158,0.052,30,4,5,147,0.32,0.36,11/2/25,0.71
0.44,2888,D5735,T002,9.6,0.68,5.1,8,9,0.56,329,0.96,152,0.08,7,7,7,346,0.46,0.47,12/22/25,0.82
0.52,1153,D9442,T007,33.7,0.38,6.0,10,4,0.61,95,0.27,99,0.024,20,6,9,331,0.11,0.45,12/1/24,0.11
0.89,863,D3198,T006,30.1,0.68,5.2,0,4,0.45,148,0.26,155,0.15,20,10,9,253,0.92,0.27,5/31/25,0.89
